id,name,date,tagline,description,minute,rating
1000545,The Darjeeling Limited,2007,"I want us to be brothers again, like we used to be.","Three American brothers who have not spoken to each other in a year set off on a train voyage across India with a plan to find themselves and bond with each other -- to become brothers again like they used to be. Their ""spiritual quest"", however, veers rapidly off-course (due to events involving over-the-counter pain killers, Indian cough syrup, and pepper spray).",92,3.81
1000546,Titane,2021,,"Following a series of unexplained crimes, a former firefighter is reunited with his son who has been missing for 10 years.",108,3.63
1000547,Atonement,2007,Torn apart by betrayal. Separated by war. Bound by love.,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",123,3.97
1000548,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,A new generation of heroes will rise... straight from the sewers.,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",100,3.77
1000549,The Lego Batman Movie,2017,Always be yourself. Unless you can be Batman.,"In the irreverent spirit of fun that made ""The Lego Movie"" a worldwide phenomenon, the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham, and if he wants to save the city from The Joker’s hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",104,3.82
1000550,Home Alone 2: Lost in New York,1992,He's up past his bedtime in the city that never sleeps.,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas eve.",120,3.46
1000551,Rocketman,2019,Based on a True Fantasy,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",121,3.68
1000552,Venom: Let There Be Carnage,2021,The universe needs Venom.,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",97,2.49
1000553,How the Grinch Stole Christmas,2000,He puts the mean in green.,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",104,3.43
1000554,Lilo & Stitch,2002,There's one in every family.,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and 'ohana, the Hawaiian tradition of family.",85,3.99
1000555,Mission: Impossible – Fallout,2018,Some Missions Are Not A Choice,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",147,3.96
1000556,Indiana Jones and the Dial of Destiny,2023,A legend will face his destiny.,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",155,2.93
1000557,Do the Right Thing,1989,"It's the hottest day of the summer. You can do nothing, you can do something, or you can …","Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",120,4.4
1000558,Paddington,2014,Please look after this bear. Thank you,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",96,3.79
1000559,Madagascar,2005,Someone's got a zoo loose.,"Alex the lion is the king of the urban jungle, the main attraction at New York’s Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.",86,3.49
1000560,Air,2023,Some icons are meant to fly.,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,111,3.56
1000561,Edge of Tomorrow,2014,"Live, Die, Repeat","Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",114,3.75
1000562,Moneyball,2011,What are you really worth?,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",134,3.89
1000563,Kick-Ass,2010,Shut up. Kick ass.,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",117,3.5
1000564,Monty Python and the Holy Grail,1975,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",91,4.14
1000565,The Babadook,2014,"If it's in a word, or it's in a look, you can't get rid of the Babadook.","A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",94,3.39
